Energy [eV],W Capture [b]
40.22358,3.979773
40.23419,4.271688
40.2448,4.609591
40.25542,5.002331
40.26603,5.458957
40.27664,5.991006
40.28725,6.611133
40.29787,7.334176
40.30848,8.174255
40.31909,9.148666
40.3297,10.27499
40.33828,11.30928
40.34685,12.46291
40.35542,13.74631
40.36399,15.1683
40.38114,18.46103
40.39828,22.38545
40.41543,26.96438
40.43257,32.16888
40.44971,37.92571
40.46685,44.10028
40.50277,57.46772
40.52073,63.75158
40.53868,69.29809
40.55401,73.19476
40.56934,76.11839
40.58467,77.92333
40.6,78.51765
40.61404,77.973
40.62807,76.41267
40.64211,73.90227
40.65614,70.55158
40.68739,60.78839
40.71864,49.33882
40.74989,37.94751
40.76552,32.7001
40.78114,27.9062
40.79677,23.62158
40.81239,19.87695
40.82802,16.66227
40.84364,13.95316
40.85666,12.04793
40.86968,10.43097
40.8827,9.069484
40.89572,7.930518
40.90874,6.982434
40.92176,6.195894
40.93478,5.54447
40.9478,5.004932
40.96343,4.477066
40.97905,4.053293
40.99468,3.710098
41.0103,3.429897
41.02593,3.198373
41.04155,3.00514
41.0728,2.702457
41.10405,2.477615
41.13529,2.304908
41.17696,2.129663
41.21862,1.998055
41.28112,1.855218
41.34362,1.756224
41.40612,1.686669
41.46862,1.638039
41.55195,1.596759
41.63528,1.575091
41.74987,1.567435
41.86445,1.57792
42.09361,1.639449
42.32277,1.744302
42.55193,1.88892
42.78109,2.076582
43.01025,2.315759
43.23941,2.620541
43.46857,3.012673
43.62482,3.346599
43.78107,3.751542
43.93732,4.248196
44.09356,4.862545
44.24981,5.637527
44.32793,6.106755
44.40605,6.644006
44.48418,7.262427
44.5623,7.978894
44.64042,8.815583
44.71854,9.801332
44.80188,11.06046
44.88521,12.59517
44.96854,14.49195
45.05187,16.87355
45.09354,18.30083
45.1352,19.92582
45.17687,21.78975
45.21853,23.94283
45.2602,26.45101
45.30186,29.39668
45.34353,32.89092
45.38519,37.07882
45.42686,42.16342
45.46852,48.42426
45.51019,56.27045
45.53102,60.96342
45.55185,66.29701
45.57269,72.39694
45.59352,79.40818
45.61435,87.51868
45.63518,96.95485
45.65602,107.9968
45.67685,120.9624
45.69768,136.2419
45.71851,154.2766
45.74456,181.4551
45.7706,214.6985
45.79664,254.9738
45.82268,303.0224
45.84872,359.1424
45.87476,422.9293
45.92684,566.9824
45.96342,670.3117
46,761.303
46.02,800.8811
46.04,830.6547
46.06,849.0485
46.08,855.0608
46.09985,848.4601
46.11969,829.7167
46.13954,799.8255
46.15938,760.3773
46.19907,660.8095
46.23875,548.3574
46.286,418.99
46.30963,361.3804
46.33325,310.0791
46.35688,265.3848
46.3805,227.1833
46.40413,194.957
46.42775,168.0606
46.44843,148.2915
46.4691,131.5409
46.48977,117.34
46.51044,105.2793
46.53112,94.9993
46.55179,86.20907
46.57246,78.65255
46.59313,72.12307
46.61381,66.44895
46.63448,61.49766
46.67582,53.32609
46.71716,46.93196
46.7585,41.86226
46.80575,37.29707
46.853,33.74565
46.90025,30.99702
46.9475,28.90994
46.99475,27.3934
47.042,26.39623
47.08925,25.90299
47.1365,25.9356
47.18375,26.56209
47.231,27.91644
47.2694,29.71302
47.30779,32.35165
47.32699,34.08184
47.34618,36.1535
47.36538,38.63518
47.38457,41.60478
47.40377,45.16157
47.42296,49.4146
47.44216,54.49745
47.46135,60.54802
47.48055,67.72523
47.49974,76.17525
47.51894,86.04983
47.53813,97.45465
47.55585,109.4102
47.57357,122.7383
47.60901,153.1908
47.67988,222.2438
47.70991,249.4084
47.73994,271.3845
47.76997,285.6202
47.8,290.332
47.82028,287.7578
47.84056,280.6741
47.86084,269.4875
47.88112,254.8222
47.92168,218.2515
47.96224,177.7137
48.00744,134.9925
48.03004,116.1992
48.05263,99.55901
48.07523,85.12992
48.09782,72.84874
48.12042,62.52906
48.14301,53.94963
48.16458,47.14766
48.18615,41.48772
48.20772,36.77504
48.22929,32.83894
48.25086,29.53489
48.27243,26.74352
48.294,24.36802
48.31557,22.33082
48.33714,20.57022
48.35871,19.03728
48.40185,16.5067
48.44499,14.51241
48.48812,12.90682
48.54153,11.31044
48.59494,10.0316
48.64835,8.986674
48.70176,8.118858
48.75517,7.388354
48.80858,6.76634
48.86199,6.231381
48.91539,5.767327
49.02221,5.004265
49.12903,4.404755
49.23585,3.920514
49.34266,3.521176
49.507,3.029866
49.67133,2.646934
49.83567,2.341202
50,2.093232
50.19141,1.85702
50.38282,1.662138
50.57423,1.499997
50.76563,1.36342
50.95704,1.24705
51.14844,1.146925
51.33985,1.060023
51.53125,0.984058
51.91407,0.860007
52.29688,0.759238
52.67969,0.677843
53.0625,0.611124
53.5,0.548418
53.9375,0.496767
54.375,0.453654
54.8125,0.417255
55.25,0.386218
55.6875,0.359524
56.125,0.336536
57,0.298753
57.63353,0.2768
58.26706,0.258945
58.90059,0.243261
59.53411,0.230368
60.80116,0.212147
61.43469,0.206847
62.06821,0.205044
62.65654,0.209318
62.9507,0.214633
63.24486,0.223513
63.53903,0.238955
63.68611,0.250182
63.83319,0.264879
63.98027,0.284832
64.12735,0.312427
64.20089,0.330183
64.27443,0.351463
64.34797,0.377269
64.42151,0.409035
64.4894,0.445402
64.55728,0.490837
64.62517,0.548635
64.69305,0.623773
64.727,0.670206
64.76094,0.724363
64.79488,0.788224
64.82882,0.864505
64.86276,0.957064
64.8967,1.071572
64.93064,1.216614
64.94761,1.304489
64.96458,1.405484
64.98061,1.515497
64.99664,1.642728
65.01267,1.790821
65.0287,1.964215
65.04473,2.168269
65.06076,2.409381
65.07679,2.695098
65.09281,3.033956
65.10884,3.436378
65.12487,3.913361
65.1409,4.477125
65.15692,5.140198
65.17295,5.916705
65.18898,6.819313
65.20501,7.860072
65.22103,9.048338
65.23895,10.56177
65.25686,12.27246
65.27478,14.1781
65.29269,16.2624
65.32852,20.85721
65.36434,25.70758
65.39451,29.61677
65.41595,32.08653
65.43738,34.15226
65.45881,35.70017
65.48024,36.64011
65.5,36.91884
65.5264,36.38896
65.54647,35.32334
65.56654,33.74453
65.58661,31.73272
65.60667,29.38656
65.66053,22.25064
65.68746,18.67785
65.71439,15.35758
65.73796,12.75435
65.76152,10.48057
65.78509,8.54625
65.79687,7.704084
65.80865,6.940989
65.82044,6.252384
65.83222,5.634829
65.844,5.082719
65.85578,4.590862
65.86757,4.153661
65.87935,3.766675
65.89113,3.424501
65.90291,3.122378
65.91554,2.837874
65.92816,2.589394
65.94079,2.371944
65.95341,2.181744
65.96604,2.014826
65.97866,1.868233
66.00391,1.624643
66.02916,1.43275
66.05441,1.279144
66.07966,1.15411
66.1049,1.050699
66.13015,0.963809
66.1554,0.889854
66.18065,0.826175
66.20589,0.770819
66.25639,0.679342
66.30688,0.607109
66.36748,0.538537
66.42807,0.484325
66.48867,0.440627
66.54926,0.404829
66.60986,0.375058
66.67045,0.34998
66.79164,0.310256
66.91283,0.280491
67.03402,0.257599
67.15521,0.239615
67.2764,0.225239
67.49185,0.205691
67.7073,0.19124
67.92275,0.180282
68.1382,0.171838
68.5691,0.159418
69,0.150691
69.58327,0.142365
70.16654,0.136325
71.33308,0.128229
72.49962,0.122671
73.66615,0.118722
75.99923,0.113844
78.3323,0.111712
80.41615,0.111852
82.5,0.113858
83.94743,0.116521
85.39485,0.120664
86.84228,0.125964
88.2897,0.133267
89.73713,0.143567
91.18455,0.157722
92.63197,0.178462
93.35568,0.19249
94.07939,0.209882
94.68491,0.228706
95.29043,0.252688
95.89595,0.284093
96.19871,0.303217
96.50146,0.32575
96.80422,0.352868
97.10698,0.385561
97.40974,0.425566
97.7125,0.4754
98.01526,0.538776
98.31802,0.620874
98.4694,0.671367
98.62078,0.730572
98.77216,0.800641
98.92353,0.884239
99.05809,0.972921
99.19265,1.078864
99.32721,1.206978
99.46177,1.363964
99.59633,1.559161
99.73089,1.806517
99.79817,1.956197
99.86545,2.128001
99.93273,2.326661
100,2.558139
100.0808,2.890696
100.1615,3.299743
100.2422,3.81193
100.2826,4.11862
100.3229,4.466345
100.3633,4.865155
100.4037,5.324853
100.4441,5.859088
100.4844,6.483931
100.5248,7.225734
100.5651,8.111451
100.6055,9.186223
100.6458,10.49843
100.6884,12.22431
100.7097,13.24958
100.731,14.40366
100.7523,15.70412
100.7736,17.17008
100.7949,18.82198
100.8162,20.68111
100.8375,22.76903
100.8588,25.10669
100.8801,27.71334
100.9014,30.60524
100.944,37.28527
100.9866,45.15479
101.0365,55.67715
101.0863,67.01536
101.1362,78.24733
101.186,88.08314
101.2145,92.58941
101.243,96.00468
101.2715,98.16244
101.3,98.95956
101.3272,98.42399
101.3543,96.67258
101.3814,93.80968
101.4085,89.99518
101.4627,80.36598
101.5169,69.74015
101.5469,64.19054
101.5768,59.3116
101.6068,55.35756
101.6367,52.59067
101.6667,51.16723
101.6966,51.19579
101.7266,52.68664
101.7565,55.5378
101.7905,60.17372
101.8244,65.81788
101.8584,71.87471
101.8923,77.57999
101.9182,81.24969
101.9441,83.98461
101.9698,85.52895
101.9955,85.73982
102,85.63227
102.0045,85.48107
102.0209,84.56129
102.0372,83.08246
102.0699,78.52832
102.1071,71.17884
102.1442,62.27897
102.1915,50.01616
102.2388,38.22953
102.2625,32.88753
102.2861,28.06915
102.3098,23.78058
102.3334,20.07072
102.3478,18.07638
102.3622,16.27764
102.3766,14.66477
102.3909,13.23579
102.4053,11.95822
102.4196,10.8368
102.434,9.842468
102.4483,8.975896
102.4627,8.212094
102.4771,7.545203
102.4915,6.963678
102.5058,6.460147
102.5345,5.634497
102.5632,5.002715
102.592,4.512149
102.6207,4.127548
102.6494,3.818754
102.6781,3.565537
102.7355,3.173067
102.7929,2.880236
102.847,2.664343
102.9011,2.491444
102.9552,2.353525
103.0092,2.247058
103.0633,2.171871
103.1173,2.133877
103.1714,2.148213
103.1984,2.184319
103.2254,2.247974
103.2474,2.326446
103.2694,2.43559
103.2914,2.58328
103.3133,2.777998
103.3353,3.032632
103.3573,3.359131
103.3793,3.77152
103.4012,4.282053
103.4232,4.910248
103.4452,5.667995
103.4672,6.567078
103.4891,7.610514
103.5111,8.810731
103.533,10.153
103.5769,13.23022
103.6344,17.70705
103.6918,21.9132
103.712,23.14231
103.7412,24.55431
103.7703,25.43985
103.8,25.73524
103.8128,25.66499
103.8411,25.09334
103.8693,23.99117
103.9071,21.81924
103.9448,19.0996
104.0203,13.14343
104.058,10.40877
104.0769,9.172711
104.0957,8.047525
104.1247,6.526811
104.1392,5.864646
104.1536,5.270028
104.1681,4.732188
104.1825,4.255376
104.197,3.82927
104.2114,3.45575
104.2259,3.125411
104.2404,2.836718
104.2549,2.585433
104.2693,2.36886
104.2838,2.180129
104.2982,2.018275
104.3127,1.877733
104.3271,1.757459
104.3561,1.563086
104.385,1.418465
104.4139,1.309146
104.4428,1.225047
104.4717,1.15893
104.5006,1.105697
104.5584,1.024837
104.654,0.933932
104.7496,0.871399
104.8452,0.825056
104.9407,0.789212
105.1318,0.737484
105.3229,0.703146
105.5141,0.680371
105.7052,0.665368
106.0874,0.652021
106.3691,0.653544
106.6508,0.662975
106.9325,0.679573
107.2141,0.703071
107.4958,0.733591
107.7774,0.77153
108.0591,0.817634
